"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"8",0,0,-28.0031806878284,2.45118102197955,5.70310179499268,0.985429256258117,56.0063613756567,4.9023620439591
"8b",-0.125141219934552,0.862247027321125,-28.1283219077629,2.36929755959118,5.3518418225968,1.04723215882648,56.2566438155258,4.73859511918236
"7b",-0.228697946828651,1.63320345310443,-28.231878634657,2.42406841514275,5.37339934419325,0.967450021129686,56.463757269314,4.84813683028549
"11b",-0.57769164031779,1.20711090915045,-28.5808723281461,2.40349328288747,5.92798449121591,1.07215917372155,57.1617446562923,4.80698656577495
"5b",-0.628649273394638,2.23405955653515,-28.631829961223,2.95681237263555,4.42238498491655,1.09563467708747,57.263659922446,5.9136247452711
"9b",-0.775633082020507,2.508839875094,-28.7788137698489,3.15915176849874,4.91994934235001,1.1570639068528,57.5576275396977,6.31830353699747
"11",-0.964809501211469,0.633416325087077,-28.9679901890398,2.28773245992861,6.36131020741882,0.96047652824408,57.9359803780796,4.57546491985722
"5",-0.972171254086797,2.11571629195493,-28.9753519419152,2.99938076916659,4.98964143490216,1.12871098564313,57.9507038838303,5.99876153833317
"4b",-1.14823687771677,2.0490832668848,-29.1514175655451,2.25453534238176,3.55069309593412,0.648209283114593,58.3028351310902,4.50907068476352
"7",-1.18528869454148,1.49157494349407,-29.1884693823698,2.32096882030674,5.93923498088931,0.942021279250303,58.3769387647397,4.64193764061349
"2b",-1.38478947903065,2.78498317954213,-29.387970166859,3.04806229833409,3.62259046307831,0.821298550164408,58.775940333718,6.09612459666817
"9",-1.5987558996858,2.29878516939359,-29.6019365875142,3.00665629523787,5.61062024240945,1.11131042214463,59.2038731750283,6.01331259047575
"6b",-1.86898888636697,2.58964621298655,-29.8721695741953,2.9782035716021,4.76129768881766,1.09055028625836,59.7443391483907,5.9564071432042
"4",-1.9955291572464,2.06450108029373,-29.9987098450748,2.18484796751332,4.22779992808601,0.670896458937394,59.9974196901495,4.36969593502664
"2",-2.30167036057955,2.76941297009344,-30.3048510484079,2.93906298382051,4.29273583206531,0.845306011929497,60.6097020968158,5.87812596764101
"1b",-2.46882254932053,2.42170444200747,-30.4720032371489,2.69032696662583,3.88788507774801,0.807643075167814,60.9440064742978,5.38065393325167
"10b",-2.71564809055359,2.46748959727768,-30.7188287783819,2.94013127161076,5.43942358718606,1.16979630016569,61.4376575567639,5.88026254322151
"3b",-2.72278996812865,2.51383619464996,-30.725970655957,2.76268975318161,4.31247126790232,1.00803165528715,61.451941311914,5.52537950636322
"1",-2.85165092077902,2.2825695600188,-30.8548316086074,2.59165539501966,4.29891826544201,0.758452138127721,61.7096632172147,5.18331079003932
"6",-2.87822600337965,2.50075197093962,-30.881406691208,2.86132542804528,5.40651524588151,1.10222074099446,61.762813382416,5.72265085609056
"0",-2.92579501223211,2.3112420366541,-30.9289757000605,2.32770417459075,3.64900229824981,0.642990079766223,61.8579514001209,4.65540834918149
"10",-3.43896199867552,2.34395662891171,-31.4421426865039,2.78677699511257,5.8371728667574,1.10435074706338,62.8842853730077,5.57355399022514
"3",-3.58308608930386,2.49038463308372,-31.5862667771322,2.81520158169059,5.09507216576694,1.1310025501795,63.1725335542644,5.63040316338117
