tag_code_or_release_id,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"!03NOCN97110",,"1","1","1997","19990412","19990415","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","B",,"18.4","116","N",,,,,"0000","84830",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","84830","0"
"181917","0","1","1","2003","20050429","20050429","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"16","112","N","5000","16627",,,"0000","14804","5000","50","W","0.003","30","300",,"SEE ALSO 181915, 181916 & 184050-51.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","16627","0","50","14804","0"
"!03NOCN06153",,"1","1","2006","20080417","20080421","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","P",,"21.37","120","N",,,,,"0000","42769",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","42769","0"
"!03NOCN0775",,"1","1","2007","20080501","20080501","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","E","H","B",,"0.35",,"N",,,,,"0000","5447",,,"B",,,,,"RELEASED BELOW CONFLUENCE OF SPIUS CR.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","5447","0"
"!03NOCN04134",,"1","1","2004","20060419","20060420","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P",,"15.73","111","N",,,,,"0000","62142",,,"W",,,,,"RELEASED AT CONFLUENCE OF MAKA CR & SPIUS CR.","R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","62142","0"
"!03NOCN07104",,"1","1","2007","20090420","20090420","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","P",,"18.44","117","N",,,,,"0000","33060",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","33060","0"
"!03NOCN07105",,"1","1","2007","20090421","20090422","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P",,"18.24","117","N",,,,,"0000","30867",,,"W",,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","30867","0"
"185648","12","1","1","2010","20120419","20120424","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","14.3","107","N","5000","21273",,,"0000","568","5000","402","B","0.018",,,,"BKD present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N","21273","0","402","568","0"
"!03NOCN9348",,"1","1","1993","199406","19940608","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P",,"3.9","68","N",,,,,"0000","25000",,,"W",,,,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","25000","0"
"185234","12","1","1","2005","20070424","20070424","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"15.82","112","N","5000","29584",,,,,,,,,"30","233",,"REL.SITES: NICOLA DAM, MERRIT GOLFCOURSE, SHULUS RAILROAD BED, GAVLINS BRIDGE","R-Nicola R","H-Spius Creek H","S-Nicola R","N","29584","0","0","0","0"
"184723","12","1","1","2000","20020415","20020417","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"13.8","107","N","5000","23735",,,"0000","26489","5000","484","B","0.02","30","300",,"SEE ALSO 184722 & 24. SCATTER RELEASED FROM DAM TO SUNSHINE VALLEY RD EAST.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","23735","0","484","26489","0"
"!03NOCN1148",,"1","1","2011","20120605","20120605","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","P","FR","2.99","62","N",,,,,"0000","66269",,,"B",,,,,"Used l/w sample dates as release dates.  Rearing morts = 35,438. No explaination","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","66269","0"
"183911","0","1","1","1997","19990420","19990421","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P",,"19.3","119","N","5000","47921",,,"0000","38054","5000","120","B","0.0025",,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","47921","0","120","38054","0"
"!03NOCN9203",,"1","1","1992","199304","19930401","2FS  TOMMR0252","2FS  TOMMH0160","2FS  TOMMS0252","F","H","B",,"0.5","35","N",,,,,"0000","57525",,,,,,,,,"R-Bonaparte R","H-Spius Creek H","S-Bonaparte R","N","0","0","0","57525","0"
"!03NOCN0973",,"1","1","2009","20100525","20100525","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","B",,"3.64","67","N",,,,,"0000","11875",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","11875","0"
"!03NOCN08105",,"1","1","2008","20100421","20100422","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P",,"15.85","112","N",,,,,"0000","52982",,,"W",,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","52982","0"
