"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"66","185203",12,1,1,2001,2003-04-24,2003-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",12.3,105,"N",5000,27753,NA,NA,0,20670,5000,280,"B",0.01,30,300,NA,"SEE ALSO 185201 & 185202.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",27753,0,280,20670,0
"67","!03NOCN1731",NA,1,1,2017,2018-05-25,2018-05-25,"2FS  TOMMR6276","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.22,NA,"N",NA,NA,NA,NA,0,2492,NA,NA,"W",NA,NA,NA,NA,"","R-Spahomin Cr","H-Spius Creek H","S-Nicola R","N",0,0,0,2492,0
"69","!03NOCN03110",NA,1,1,2003,2004-06-08,2004-06-09,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.2,48,"N",NA,NA,NA,NA,0,23971,NA,NA,"W",NA,NA,NA,NA,"RELEASED DOWNSTREAM OF SPIUS CR CONFLUENCE.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,23971,0
"74","181248",0,1,1,2011,2013-04-23,2013-04-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.33,116,"N",5000,10217,NA,NA,5000,257,NA,NA,"B",0.0246,195,855,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",10217,0,257,0,0
"76","182129",0,1,1,1998,2000-04-25,2000-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.24,120,"N",5000,21458,NA,NA,0,13191,5000,177,"W",0.0082,30,300,NA,"EXTENDED REARING. SEE ALSO 182128","R-Nicola R","H-Spius Creek H","S-Nicola R","N",21458,0,177,13191,0
"77","181899",12,1,1,2013,2015-04-20,2015-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX",16.92,114,"N",5000,11893,NA,NA,0,523,5000,240,"W",0.0198,400,1113,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",11893,0,240,523,0
"82","181364",12,1,1,2009,2011-04-26,2011-04-29,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.27,118,"N",5000,34033,NA,NA,5000,2415,0,0,"B",0.066,30,334,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",34033,0,2415,0,0
"85","181918",0,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,8870,NA,NA,0,209,5000,101,"B",0.011,NA,NA,NA,"BKD in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N",8870,0,101,209,0
"88","181692",12,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,20617,NA,NA,0,362,5000,348,"B",0.0166,NA,NA,NA,"BKD was present in this release group.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",20617,0,348,362,0
"90","020416",0,1,1,1989,1990-04-25,1990-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",6.2,83,"N",5000,24861,NA,NA,0,39231,5000,277,"W",0.011,1,200,NA,"TIME OF RELEASE-NORMAL. SEE ALSO 020353, 020417.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24861,0,277,39231,0
"94","181774",12,1,1,2011,2013-04-24,2013-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.19,116,"N",5000,39364,NA,NA,0,1246,5000,331,"B",0.0083,194,960,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",39364,0,331,1246,0
"95","!03NOCN0045",NA,1,1,2000,2001-05-29,2001-05-29,"2FS  TOMMR6276","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.17,46,"N",NA,NA,NA,NA,0,20025,NA,NA,"B",NA,NA,NA,NA,"","R-Spahomin Cr","H-Spius Creek H","S-Nicola R","N",0,0,0,20025,0
"96","!03NOCN01120",NA,1,1,2001,2002-06-28,2002-07-18,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",2.83,62,"N",NA,NA,NA,NA,0,30125,NA,NA,"W",NA,NA,NA,NA,"FED FRY RELEASED FROM ACCLIMATION POND AND TO VARIOUS PARTS OF RIVER.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,30125,0
