"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"143","182242",0,1,1,1994,1996-05-08,1996-05-15,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",17,NA,"N",5000,329,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"ESTIMATED RELEASE NUMBER FROM SPAHOMIN SM POND AFTER FREEZE KILLED MOST FISH","R-Nicola R","H-Spius Creek H","S-Nicola R","N",329,0,0,0,0
"144","181930",0,1,1,2012,2014-04-25,2014-04-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.52,109,"N",5000,2860,NA,NA,5000,52,NA,NA,"B",0.0179,205,1115,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",2860,0,52,0,0
"145","181931",0,1,1,2012,2014-04-22,2014-04-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.08,108,"N",5000,1272,NA,NA,0,172,5000,10,"B",0.0081,197,1113,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",1272,0,10,172,0
"146","182399",12,1,1,2012,2014-04-25,2014-04-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.52,109,"N",5000,52018,NA,NA,5000,948,NA,NA,"B",0.0179,205,1115,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",52018,0,948,0,0
"147","183896",12,1,1,2015,2017-05-01,2017-05-03,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",16.21,NA,"N",5000,12587,NA,NA,5000,1306,NA,NA,"B",0.094,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",12587,0,1306,0,0
"148","183278",12,1,1,2013,2015-04-20,2015-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX",16.92,114,"N",5000,57461,NA,NA,5000,430,0,411,"W",0.0074,196,539,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",57461,0,430,411,0
"149","022823",0,1,1,1984,1985-04-09,1985-04-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.6,NA,"N",5000,35236,NA,NA,0,9881,5000,811,"",0.0225,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",35236,0,811,9881,0
"152","182587",12,1,1,2015,2017-04-20,2017-04-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",NA,NA,"N",5000,10178,NA,NA,5000,1057,NA,NA,"B",0.0941,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",10178,0,1057,0,0
"153","182585",12,1,1,2015,2017-04-20,2017-04-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",16.21,NA,"N",5000,20345,NA,NA,5000,2113,NA,NA,"B",0.0941,180,3316,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",20345,0,2113,0,0
"154","183597",12,1,1,2014,2016-04-19,2016-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.96,NA,"N",5000,56856,NA,NA,5000,964,NA,NA,"B",0.0167,190,300,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",56856,0,964,0,0
"158","!03NOCN9599",NA,1,1,1995,1997-05-09,1997-05-10,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",12.4,103,"N",NA,NA,NA,NA,0,31918,NA,NA,"W",NA,NA,NA,NA,"#'S ARE TRANSFER #'S TO SPAHOMIN POND FOR GROWOUT & RELEASE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,31918,0
"159","!03NOCN1022",NA,1,1,2010,2011-06-17,2011-06-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.96,55,"N",NA,NA,NA,NA,0,54266,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,54266,0
"160","184051",0,1,1,2003,2005-04-29,2005-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16,112,"N",5000,11508,NA,NA,0,10216,NA,NA,"W",NA,30,300,NA,"SEE ALSO 181915-17 & 184050.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",11508,0,0,10216,0
"161","020419",0,1,1,1989,1990-05-23,1990-05-30,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",8.6,91,"N",5000,24817,NA,NA,0,43546,5000,251,"W",0.01,60,671,NA,"TIME OF RELEASE: LATE.RIVER AT FULL FLOOD,HIGH,FAST.SEE ALSO 020418,20","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24817,0,251,43546,0
"163","!03NOCN0471",NA,1,1,2004,2005-04-18,2005-04-18,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",0.34,35,"N",NA,NA,NA,NA,0,3205,NA,NA,"B",NA,NA,NA,NA,"RELEASED UPSTREAM OF THE SUNSHINE VALLEY ROAD WEST BRIDGE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,3205,0
"166","185215",12,1,1,2004,2006-04-24,2006-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.87,112,"N",5000,27206,NA,NA,0,18707,5000,604,"W",0.0217,30,600,NA,"SEE ALSO 185216 & 185217.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",27206,0,604,18707,0
"167","185216",12,1,1,2004,2006-04-24,2006-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.87,112,"N",5000,28008,NA,NA,0,18903,5000,93,"B",0.0033,30,300,NA,"SEE ALSO 185215 & 185217.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",28008,0,93,18903,0
"168","185217",12,1,1,2004,2006-04-24,2006-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.87,112,"N",5000,28053,NA,NA,0,19192,5000,477,"B",0.0167,30,600,NA,"SEE ALSO 185215 & 185216.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",28053,0,477,19192,0
"170","!03NOCN8615",NA,1,1,1986,1987-04-02,1987-04-07,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","",2.8,NA,"N",NA,NA,NA,NA,0,87575,NA,NA,"",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,87575,0
"172","!03NOCN0695",NA,1,1,2006,2007-06-01,2007-06-07,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.31,49,"N",NA,NA,NA,NA,0,54428,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,54428,0
"174","022820",0,1,1,1984,1985-04-09,1985-04-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5,NA,"N",5000,35324,NA,NA,5000,822,NA,NA,"",0.0227,1,NA,NA,"IMPRINTED","R-Nicola R","H-Spius Creek H","S-Nicola R","N",35324,0,822,0,0
"175","180852",0,1,1,1992,1993-04-13,1993-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5,72,"N",5000,75062,NA,NA,0,75759,5000,758,"W",0.01,1,300,NA,"TIME OF RELEASE-PRE-FRESHET.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75062,0,758,75759,0
"177","181917",0,1,1,2003,2005-04-29,2005-04-29,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16,112,"N",5000,16627,NA,NA,0,14804,5000,50,"W",0.003,30,300,NA,"SEE ALSO 181915, 181916 & 184050-51.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",16627,0,50,14804,0
"179","!03NOCN0775",NA,1,1,2007,2008-05-01,2008-05-01,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","E","H","B","",0.35,NA,"N",NA,NA,NA,NA,0,5447,NA,NA,"B",NA,NA,NA,NA,"RELEASED BELOW CONFLUENCE OF SPIUS CR.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,5447,0
"183","185648",12,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,21273,NA,NA,0,568,5000,402,"B",0.018,NA,NA,NA,"BKD present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N",21273,0,402,568,0
"184","!03NOCN9348",NA,1,1,1993,1994-06-01,1994-06-08,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",3.9,68,"N",NA,NA,NA,NA,0,25000,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,25000,0
"185","185234",12,1,1,2005,2007-04-24,2007-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.82,112,"N",5000,29584,NA,NA,NA,NA,NA,NA,"",NA,30,233,NA,"REL.SITES: NICOLA DAM, MERRIT GOLFCOURSE, SHULUS RAILROAD BED, GAVLINS BRIDGE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",29584,0,0,0,0
"186","184723",12,1,1,2000,2002-04-15,2002-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",13.8,107,"N",5000,23735,NA,NA,0,26489,5000,484,"B",0.02,30,300,NA,"SEE ALSO 184722 & 24. SCATTER RELEASED FROM DAM TO SUNSHINE VALLEY RD EAST.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",23735,0,484,26489,0
"192","182398",12,1,1,2012,2014-04-23,2014-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.7,110,"N",5000,56178,NA,NA,5000,538,NA,NA,"B",0.0095,210,952,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",56178,0,538,0,0
"198","183277",12,1,1,2013,2015-04-21,2015-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX",16.7,113,"N",5000,54517,NA,NA,5000,1056,0,562,"W",0.019,204,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",54517,0,1056,562,0
"203","181690",12,1,1,2013,2015-04-22,2015-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX",17.75,116,"N",5000,5693,NA,NA,0,92,5000,69,"W",0.012,209,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",5693,0,69,92,0
"204","182891",12,1,1,2013,2015-04-22,2015-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX",17.75,116,"N",5000,43742,NA,NA,5000,571,0,289,"W",0.0129,209,853,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",43742,0,571,289,0
"207","182588",12,1,1,2015,2017-04-20,2017-04-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",NA,NA,"N",5000,9740,NA,NA,5000,1012,NA,NA,"B",0.0941,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",9740,0,1012,0,0
"208","183596",12,1,1,2014,2016-04-19,2016-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.96,NA,"N",5000,55906,NA,NA,0,2589,5000,565,"B",0.01,190,300,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",55906,0,565,2589,0
"212","181366",12,1,1,2011,2013-04-23,2013-04-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.33,116,"N",5000,43727,NA,NA,5000,1101,NA,NA,"B",0.0246,195,855,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",43727,0,1101,0,0
"213","180352",0,1,1,1991,1992-05-08,1992-05-11,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",6.5,86,"N",5000,75198,NA,NA,0,114836,5000,530,"W",0.007,30,2000,NA,"TIME OF RELEASE: EARLY. COMPARE TO 180353","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75198,0,530,114836,0
"214","!03NOCN02119",NA,1,1,2002,2003-05-27,2003-05-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.23,47,"N",NA,NA,NA,NA,0,26827,NA,NA,"B",NA,NA,NA,NA,"RELEASED AT DOT TRESTLE.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,26827,0
"215","!03NOCN02120",NA,1,1,2002,2003-06-18,2003-06-18,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",2.95,62,"N",NA,NA,NA,NA,0,20315,NA,NA,"B",NA,NA,NA,NA,"TRANSFERRED TO SPAHOMIN CR ACCLIMATION POND MAY 27TH; REL TO UPPER NICOLA.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,20315,0
"216","185728",12,1,1,2005,2007-04-24,2007-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.82,112,"N",5000,33436,NA,NA,0,285,5000,222,"B",0.0066,30,303,NA,"NICOLA DAM,MERRIT GOLF, SHULUS RR BED, GAVLINS BR, NICOLA&RIVER RANCH, NORGARD","R-Nicola R","H-Spius Creek H","S-Nicola R","N",33436,0,222,285,0
"217","182862",0,1,1,1996,1998-04-28,1998-04-30,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.3,108,"N",5000,49648,NA,NA,0,64063,5000,1013,"W",0.02,1,500,NA,"YEARLING RELEASE. FED LO RATION-SEE 182863-HIGH RATION","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49648,0,1013,64063,0
"218","180965",12,1,1,2008,2010-04-14,2010-04-14,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.47,114,"N",5000,53511,NA,NA,5000,367,NA,NA,"W",0.0663,30,422,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",53511,0,367,0,0
"219","180966",12,1,1,2008,2010-04-14,2010-04-14,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.07,113,"N",5000,49256,NA,NA,5000,3468,NA,NA,"W",0.0068,30,443,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49256,0,3468,0,0
"221","180851",0,1,1,1991,1993-04-23,1993-04-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17,114,"N",5000,74489,NA,NA,0,139886,5000,374,"W",0.005,278,2000,NA,"TIME OF RELEASE-YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",74489,0,374,139886,0
"222","181915",0,1,1,2003,2005-04-29,2005-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16,112,"N",5000,22223,NA,NA,0,19988,5000,293,"W",0.013,30,300,NA,"SEE ALSO 181916, 181917 & 184050-51.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",22223,0,293,19988,0
"224","182128",0,1,1,1998,2000-04-25,2000-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.24,120,"N",5000,21340,NA,NA,0,13191,5000,435,"W",0.02,30,300,NA,"EXTENDED REARING. SEE ALSO 182129.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",21340,0,435,13191,0
"226","181091",12,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,26273,NA,NA,5000,444,0,361,"B",0.0166,NA,NA,NA,"BKD was present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26273,0,444,361,0
"227","181227",0,1,1,1992,1994-05-03,1994-05-06,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",19.2,117,"W",5000,47150,NA,NA,0,179161,5000,476,"W",0.01,1,2000,NA,"YEARLINGS.BKD. 5075 MARKS & 19782 UNMARKS REL'D SPAHOMIN POND-AFS FUNDED.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",47150,0,476,179161,0
"229","!03NOCN0853",NA,1,1,2008,2009-05-26,2009-05-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.61,51,"N",NA,NA,NA,NA,0,54595,NA,NA,"B",NA,NA,NA,NA,"137,605 ON HAND FOR 2010 SMOLT 1+ RELEASE.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,54595,0
"231","185926",12,1,1,2006,2008-04-23,2008-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.03,107,"N",5000,44970,NA,NA,0,2230,5000,455,"B",0.01,30,300,NA,"ALSO SEE TAGCODES 185936 & 185935.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",44970,0,455,2230,0
"232","185935",12,1,1,2006,2008-04-23,2008-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.03,107,"N",5000,56661,NA,NA,0,2230,NA,NA,"B",NA,30,300,NA,"ALSO SEE TAGCODES 185936 & 185926.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",56661,0,0,2230,0
"235","020738",0,1,1,1989,1991-04-08,1991-04-11,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",19,117,"N",5000,25114,NA,NA,0,35175,5000,28,"W",0.0011,105,1055,NA,"TIME OF RELEASE: NORMAL 1+ SM. SEE ALSO 020739","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25114,0,28,35175,0
"238","020353",0,1,1,1989,1990-04-25,1990-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",6.2,83,"N",5000,24955,NA,NA,0,39379,5000,278,"W",0.011,1,200,NA,"TIME AND SIZE:NORMAL. SEE ALSO 020416, 020417.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24955,0,278,39379,0
"239","021555",0,1,1,1990,1991-05-03,1991-05-10,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",8.1,85,"N",5000,75044,NA,NA,0,55880,5000,226,"W",0.003,30,2000,NA,"TIME OF RELEASE: NORMAL SIZE & TIME AT RELEASE. SEE 021556.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75044,0,226,55880,0
"240","182732",0,1,1,1995,1997-05-01,1997-05-07,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.5,112,"N",5000,50275,NA,NA,0,39492,5000,507,"B",0.01,1,500,NA,"FED HI RATION. SEE 182731-LO RATION GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",50275,0,507,39492,0
"242","020417",0,1,1,1989,1990-04-25,1990-04-26,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",6.2,83,"N",5000,24799,NA,NA,0,39133,5000,276,"W",0.011,1,200,NA,"TIME OF RELEASE:NORMAL.SEE ALSO 020353, 020416.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24799,0,276,39133,0
"243","020418",0,1,1,1989,1990-05-23,1990-05-30,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",8.6,91,"N",5000,24816,NA,NA,0,43544,5000,251,"W",0.01,60,671,NA,"TIME OF RELEASE: LATE. RIVER AT FULL FLOOD,HIGH,FAST.SEE ALSO 020419-20","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24816,0,251,43544,0
"244","020420",0,1,1,1989,1990-05-23,1990-05-30,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",8.6,91,"N",5000,24852,NA,NA,0,43607,5000,251,"W",0.01,60,671,NA,"TIME OF RELEASE: LATE. RIVER AT FULL FLOOD,HIGH,FAST.SEE 020418-19.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24852,0,251,43607,0
"246","022821",0,1,1,1984,1985-04-09,1985-04-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5,NA,"N",5000,32962,NA,NA,5000,678,NA,NA,"",0.0202,1,NA,NA,"IMPRINTED","R-Nicola R","H-Spius Creek H","S-Nicola R","N",32962,0,678,0,0
"247","!03NOCN8880",NA,1,1,1988,1989-04-04,1989-05-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.3,NA,"N",NA,NA,NA,NA,0,350042,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,350042,0
"248","!03NOCN03111",NA,1,1,2003,2004-09-06,2004-09-06,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.23,49,"N",NA,NA,NA,NA,0,23032,NA,NA,"W",NA,NA,NA,NA,"RELEASED IN UPPER NICOLA R.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,23032,0
"252","!03NOCN0046",NA,1,1,2000,2001-06-28,2001-06-29,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.83,56,"N",NA,NA,NA,NA,0,35338,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,35338,0
"261","!03NOCN99105",NA,1,1,1999,2000-04-27,2000-04-27,"2FS  TOMMR6276","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",3.38,65,"N",NA,NA,NA,NA,0,15000,NA,NA,"W",NA,NA,NA,NA,"","R-Spahomin Cr","H-Spius Creek H","S-Nicola R","N",0,0,0,15000,0
"262","183493",12,1,1,2012,2014-04-23,2014-04-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.6,110,"N",5000,22340,NA,NA,5000,314,NA,NA,"B",0.0139,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",22340,0,314,0,0
"264","025856",0,1,1,1988,1990-03-05,1990-03-09,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17,110,"N",5000,25381,NA,NA,0,15035,5000,128,"B",0.005,210,NA,NA,"TIME OF RELEASE: EARLY 1+ SM. SEE ALSO 025857.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25381,0,128,15035,0
"265","025857",0,1,1,1988,1990-03-05,1990-03-09,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17,110,"N",5000,25709,NA,NA,0,15035,5000,129,"B",0.005,210,NA,NA,"TIME OF RELEASE: EARLY 1+ SM. SEE ALSO 025856.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25709,0,129,15035,0
"266","025858",0,1,1,1988,1990-04-18,1990-04-19,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17,110,"N",5000,25366,NA,NA,0,18978,5000,25,"B",0.001,240,NA,NA,"TIME OF RELEASE: NORMAL 1+ SM. SEE ALSO 025859.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25366,0,25,18978,0
"267","025859",0,1,1,1988,1990-04-18,1990-04-19,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17,110,"N",5000,25368,NA,NA,0,18978,5000,25,"B",0.001,240,NA,NA,"TIME OF RELEASE: NORMAL 1+ SM. SEE ALSO 025858.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25368,0,25,18978,0
"268","182383",12,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,51223,NA,NA,5000,2235,0,864,"B",0.042,NA,NA,NA,"BKD present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N",51223,0,2235,864,0
"269","182384",12,1,1,2010,2012-04-19,2012-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.3,107,"N",5000,51745,NA,NA,5000,1164,0,207,"B",0.022,NA,NA,NA,"BKD present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N",51745,0,1164,207,0
"275","023038",0,1,1,1984,1985-04-09,1985-04-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5,NA,"N",5000,30830,NA,NA,5000,926,NA,NA,"",0.0292,1,NA,NA,"IMPRINTED","R-Nicola R","H-Spius Creek H","S-Nicola R","N",30830,0,926,0,0
"276","023039",0,1,1,1984,1985-04-09,1985-04-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.6,NA,"N",5000,27374,NA,NA,0,7771,5000,974,"",0.0344,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",27374,0,974,7771,0
"278","180304",0,1,1,1990,1992-03-25,1992-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.4,118,"N",5000,24964,NA,NA,0,46855,5000,75,"W",0.003,27,666,NA,"TIME OF RELEASE: YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24964,0,75,46855,0
"279","180305",0,1,1,1990,1992-03-25,1992-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.4,118,"N",5000,24932,NA,NA,0,46795,5000,75,"W",0.003,27,666,NA,"TIME OF RELEASE: YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24932,0,75,46795,0
"280","180306",0,1,1,1990,1992-03-25,1992-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.4,118,"N",5000,25363,NA,NA,0,47603,5000,76,"W",0.003,27,666,NA,"TIME OF RELEASE: YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25363,0,76,47603,0
"281","024563",0,1,1,1986,1987-09-08,1987-09-15,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",9.6,NA,"N",5000,20913,NA,NA,0,7368,5000,426,"",0.02,1,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",20913,0,426,7368,0
