"year","max_flow_fall","mean_flow_aug_rearing"
1911,11.3000001907349,11.0561290864022
1912,NA,11.3970967723477
1913,NA,NA
1914,NA,10.6003226003339
1915,NA,19.4580646022674
1916,9.48999977111816,9.332580689461
1917,NA,6.62322578122539
1918,NA,NA
1919,3.96000003814697,NA
1957,8.8100004196167,3.68709675727352
1958,59.2000007629395,9.05741928469751
1959,69.4000015258789,5.53838708323817
1960,21.6000003814697,5.19935487162682
1961,30,9.75741941698136
1962,NA,9.32741941944245
1963,162,13.2322581814181
1964,22.7000007629395,8.21129028258785
1965,32.7999992370605,9.89806449028753
1966,42.5,7.0103225784917
1967,107,10.1829033205586
1968,24.3999996185303,7.10161292168402
1969,14.6000003814697,3.88903228698238
1970,5.46999979019165,9.9987096786499
1971,8.27000045776367,15.4893548411708
1972,14.6999998092651,4.05064516682779
1973,24.1000003814697,16.6367742169288
1974,8.27000045776367,8.63967746303928
1975,88.0999984741211,25.0806452843451
1976,14.8999996185303,4.33225809374163
1977,28.6000003814697,5.07290322549881
1978,55.5,3.24677420431568
1979,74.6999969482422,5.97741937637329
1980,236,10.3009676010378
1981,20.2999992370605,13.7941935754591
1982,16,7.522903227037
1983,26.8999996185303,6.66290323195919
1984,12,3.1361290408719
1985,19.8999996185303,10.4380644367587
1986,19.1000003814697,4.00806448536534
1987,4.48999977111816,4.34129035088324
1988,39.2999992370605,10.2458064171576
1989,74.8000030517578,6.96806449274863
1990,226,13.2061289510419
1991,41.2000007629395,5.07258062208852
1992,15.5,27.2677418493455
1993,14.8000001907349,5.02967743719778
1994,30.3999996185303,8.85483872505927
1995,208,8.43516132908483
1996,27.7999992370605,13.0354838217458
1997,35.2000007629395,4.75451614779811
1998,35.7000007629395,19.0206452031289
1999,106,9.92096773270637
2000,27.5,6.04677417201381
2001,38.2000007629395,7.91096774993404
2002,14.3000001907349,3.4758064516129
2003,180,4.29709679080594
2004,96.8000030517578,4.01096770840306
2005,50,4.44290322642173
2006,156,6.86967742058539
2007,116,7.59967743965887
2008,23.5,4.04774192840822
2009,43,8.89709681849325
2010,19.3999996185303,13.7422578719354
2011,31,10.596774132021
2012,48.4000015258789,6.80419355823148
2013,16.6000003814697,6.62000002399568
2014,40.9000015258789,NA
