"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"alpha",2.881724,0.010022,0.980799,1.809116,4.12289,9577.287358,0.999924
"beta",0.000166,0,4e-05,0.000116,0.000216,10340.717997,0.99988
"b1",0.025974,0.00244,0.209994,-0.235404,0.287404,7405.527509,1.000631
"b2",0.209993,0.00183,0.177358,-0.01153,0.430463,9393.463533,0.999926
"b4",-0.328779,0.002459,0.214744,-0.59798,-0.056759,7628.139117,1.000315
"b5",0.451543,0.001955,0.186259,0.218398,0.681501,9077.914805,1.00033
"tau",0.763815,0.001988,0.148117,0.598196,0.955718,5551.354027,1.000809
