"GNIS_NAME","STREAM_ORD","AREA_HA","major_trib","clearcut_area_ha","percent_cut_since_2000"
"Abbott Creek",4,1657.22535349699,FALSE,376,0.226885256858149
"Alocin Creek",4,3975.16565168761,TRUE,559,0.140623070578878
"August Creek",3,710.273921562324,FALSE,70,0.0985535268506374
"Axe Creek",4,3632.8605409193,FALSE,1272,0.350137305209662
"Baillie Creek",2,129.782157188546,FALSE,11,0.0847574137947126
"Baldie Creek",3,1557.05855432516,TRUE,24,0.0154136785243775
"Bar Creek",3,589.890804619283,FALSE,69,0.116970801137564
"Beak Creek",4,8990.13217387871,TRUE,4351,0.483975086889385
"Berry Creek",4,6060.74046617081,TRUE,2258,0.372561737728824
"Betty Creek",2,464.599834301993,FALSE,61,0.131295785095674
"Bottletop Creek",2,720.687917756943,FALSE,149,0.206746909902063
"Brenda Creek",2,631.747526931335,FALSE,6,0.00949746495905499
"Brook Creek",3,4228.91444809422,FALSE,382,0.0903305102736589
"Broom Creek",4,2507.92706311938,FALSE,929,0.370425445644541
"Chapperon Creek",5,22254.9730635892,TRUE,5091,0.228757859443526
"Chartrand Creek",4,4724.2712893131,FALSE,1237,0.261839323833551
"Chataway Creek",4,3764.49663510593,FALSE,2141,0.568734736015975
"Clapperton Creek",5,23189.4557753962,TRUE,8505,0.36676151792332
"Clark Creek",3,866.62847659775,FALSE,222,0.256165134189379
"Coldwater River",6,91228.3907855871,TRUE,11533,0.126418978792532
"Conant Creek",3,1510.36516611739,FALSE,887,0.587275196686482
"Cougar Creek",4,1606.67254404609,FALSE,255,0.158713112354452
"Cowan Creek",3,1066.14791744952,FALSE,313,0.293580276129761
"Cultus Creek",3,566.779325780209,FALSE,241,0.425209581644933
"Danish Creek",3,361.299645080946,FALSE,28,0.077498000292048
"Deer Creek",3,1136.49595899622,FALSE,35,0.0307964139449408
"Douglas Creek",4,4604.17812561214,FALSE,17,0.00369229850283861
"Dud Creek",2,264.105557502236,FALSE,23,0.0870863915834308
"Dupuis Creek",4,3790.01909583417,FALSE,1057,0.278890415397065
"East Melba Creek",3,672.211608230756,FALSE,181,0.269260449810421
"Edgar Creek",3,790.356175625573,FALSE,62,0.0784456450295039
"Eve Creek",2,786.147009738359,FALSE,351,0.446481377721983
"Forge Creek",4,3295.8794263992,FALSE,1131,0.343155757137522
"Fox Creek",3,615.082388345163,FALSE,373,0.606422825734827
"Frank Ward Creek",3,4409.30712920726,FALSE,942,0.213639007761603
"Frisken Creek",4,3798.00804459424,FALSE,584,0.153764813855836
"Frogmoore Creek",4,5174.0732711323,FALSE,916,0.177036534273807
"Gillis Creek",3,1219.66470909146,FALSE,104,0.0852693360927617
"Godey Creek",4,5225.76789742335,FALSE,412,0.0788400878276938
"Gordon Creek",5,4579.68167571564,TRUE,996,0.217482364610934
"Greenstone Creek",5,5702.11856859446,FALSE,1792,0.314269157760029
"Guichon Creek",7,119249.670314213,TRUE,27372,0.229535225781983
"Gump Creek",3,949.656596035131,FALSE,229,0.241139798276648
"Hamilton Creek",4,5529.60981192657,TRUE,587,0.106155772281423
"Harold Creek",4,2859.85103351168,FALSE,1205,0.421350617874789
"Hay Brook",2,677.578356733035,FALSE,185,0.273031153019679
"Hector Creek",4,3374.80419159166,FALSE,325,0.0963018834721548
"Hendy Creek",2,540.154788255378,TRUE,29,0.0536883142213102
"Highmont Creek",3,1226.25941101337,FALSE,427,0.348213433605479
"Hollis Creek",4,1687.22158396266,FALSE,54,0.0320052804642137
"Howarth Creek",4,4786.2687448648,FALSE,1001,0.209139948749007
"Howse Creek",4,4018.82462270104,TRUE,15,0.00373243458181028
"Jack Douglas Creek",4,2575.301876076,TRUE,420,0.16308767678916
"Jack Swart Creek",3,1532.64233630916,FALSE,193,0.125926313940129
"James Creek",3,764.43636654995,FALSE,43,0.0562505944007706
"Jesse Creek",4,3086.6560442624,TRUE,465,0.15064846660332
"Juliet Creek",4,9034.1367454859,FALSE,52,0.00575594563874439
"Kanevale Creek",4,4900.52553219083,FALSE,733,0.149575794511228
"Kimble Creek",2,557.264661963572,FALSE,102,0.183036906809403
"Kingsvale Creek",3,647.66625626934,FALSE,44,0.0679362242112889
"Kirby Creek",3,1284.0227339291,FALSE,194,0.151087667588534
"Kloklowuck Creek",3,2464.75535234901,TRUE,549,0.222740159373944
"Klup Creek",3,1011.67654916305,TRUE,318,0.314329713645213
"Kullagh Creek",3,1174.60323340405,FALSE,24,0.0204324314095808
"Kwinshatin Creek",3,2838.12221048228,FALSE,445,0.156793811893104
"Lauder Creek",4,8021.61611512867,TRUE,836,0.104218400382351
"Lemoto Creek",3,1311.11645869365,FALSE,16,0.0122033400571768
"Lindley Creek",3,2114.2231001676,TRUE,329,0.155612716545344
"Logan Creek",2,257.619919331179,TRUE,2,0.00776337483992818
"Logans Creek",4,3924.2031863213,FALSE,211,0.0537688773954133
"Luckachin Creek",3,881.08059944697,TRUE,3,0.00340490983671984
