"GNIS_NAME","STREAM_ORD","AREA_HA","major_trib","clearcut_area_ha","percent_cut_since_2000"
"Spius Creek",6,76755.7457182498,TRUE,4503,0.0586666178259714
"Steffens Creek",5,8056.26422064978,FALSE,1025,0.127230186588559
"Stirling Creek",2,476.026211247606,FALSE,74,0.155453624719646
"Stumbles Creek",4,5014.11658135959,TRUE,807,0.160945599669559
"Stumplake Creek",5,30473.1924718866,TRUE,4217,0.138383925605775
"Talapus Creek",2,439.572177756605,FALSE,238,0.541435541290747
"Teenamilsts Creek",2,885.722869841298,FALSE,6,0.00677412789519036
"Teepee Creek",4,2442.26256611818,FALSE,130,0.0532293299678366
"Tinmilsh Creek",2,729.5028702919,FALSE,59,0.0808769950094809
"Tolman Creek",3,836.881266090557,FALSE,121,0.144584429001792
"Tom Peter Creek",3,597.123990077334,FALSE,243,0.406950656878698
"Tyner Creek",4,2067.16747620598,FALSE,716,0.346367678594734
"Voght Creek",5,21045.5726472776,FALSE,4771,0.226698511841975
"Wallace Creek",3,510.727298028075,FALSE,113,0.221253104026933
"Walloper Creek",4,2411.9816081699,FALSE,796,0.330019100188731
"Wasley Creek",5,13632.6032766452,FALSE,1400,0.102694985806447
"Waterfall Creek",3,661.056997192326,FALSE,26,0.039330950448189
"West Cougar Creek",3,308.487950405771,FALSE,49,0.158839267256785
"Winney Creek",2,1083.69403984812,FALSE,8,0.00738215742251492
"Witches Brook",5,13700.9433704856,FALSE,3427,0.250128761745152
"Wolden Creek",4,1429.73735378007,FALSE,8,0.00559543330028336
"Zoht Creek",2,1404.29317220108,FALSE,682,0.485653575407648
