"","brood_year","wild_recruits","total_spawners","wild_spawners","hatchery_spawners","CV","recruits_per_spawner","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","sep_oct_Q10_flow","jan_feb_max_flow","ice_days","sep_dec_max_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear","sep_oct_Q10_flow_rear","jan_feb_max_flow_rear","ice_days_rear","sep_dec_max_flow_rear","smolt_age3_survival"
"3",1992,17044,5061,3816,1245,0.2,3.36771389053547,0.163136155946082,1.91932127564369,1.53826369936958,0.771986593306207,-1.11035226459948,-1.16555773127506,-0.746838197902844,-0.633384769817164,-0.408230052827808,-0.244497299122499,-0.592876697881492,-0.80199392599412,-0.182199490881394,-0.732784508700966,1.30574522035752,-0.791369822291005,-1.04363809059293,-0.909483564595686,-0.518816619263422,-0.923520583953393,-0.37099290348015,-0.990107136939889,0.0212337119688991,3.31397101999048,1.76756414579903,-0.12058165285608,-0.680160751974935,-0.200972797367689,1.86932762925395,-0.502786295105027,-0.5400434128754,-0.826970468618247,-0.837164225770813
"4",1993,11252,5028,2580,2448,0.2,2.23786793953858,-1.09574931461651,-0.943021595731961,-0.575962755754507,-0.974279128217572,-0.282354233938842,-0.90882006663403,0.0299379168177819,3.30461367782212,1.76739003072362,-0.120709861198086,-0.656533867127153,-0.120190675342482,1.86430954038578,-0.4733607321803,-0.607323358305825,-0.796610685341229,0.0328888206055307,-0.183608469918113,0.499379796964701,1.62674314929057,-0.570799658164537,-1.11304102671953,-0.80485160780017,-0.657811129430177,-0.923955545100145,-0.944938580005046,-0.97115442514654,-0.454266938594326,-0.810088387701847,0.695538274511716,0.468419618064339,-0.558120655224764,-0.611466642670635
"5",1994,1951,9510,3686,5824,0.21,0.20515247108307,-0.0072858683897062,-0.282267330284033,0.382668386500647,1.55227219844571,-0.477602687589839,-1.02759789076176,-0.79113206105887,-0.640996909858347,-0.942097838748357,-0.945093184173929,-0.945278808408021,-0.374705007372205,-0.828465471792486,0.737998325900617,0.364394014983495,-0.531073796285756,-1.01802804463139,1.70099761902474,0.146083771274216,-0.128463921097843,0.353780354293384,-0.309375964538517,-0.427398833910454,0.0253736586075837,-0.472452951715396,0.517416191414445,3.24910578165238,2.59410844323637,-0.205306085829775,0.430422223761717,-0.256413185423598,2.58317721059072,-0.50776958192981
"6",1995,2808,10625,4968,5657,0.05,0.264282352941176,-1.06985530435504,1.43326406222264,0.0500404502164993,-0.18661491916927,0.425884374167311,-0.251102592480374,-0.415970884252404,0.0376861174615711,-0.487581082304927,0.517308411700004,3.24236820233476,2.68835527631707,-0.220667854706122,0.469998538813414,-0.334027847068204,2.5715151635378,1.68856473498547,1.61442526067398,1.37957419099599,1.94513821957352,-0.601122618083647,0.375083081840367,0.0236617926667071,-0.0495819292058993,-0.151321753862402,-0.430519073683134,-0.212479238022574,-0.547120242101465,0.315266437980789,-0.136926165296782,-0.224898715706731,-0.604108130629537,1.09809697208757
"7",1996,6836,17778,17101,677,0.04,0.384520193497581,1.66674818766044,1.35445841718868,1.2113707310665,1.86770682457482,-0.507233873200552,0.41021672621318,0.0323512561147316,-0.0367755598803824,-0.164306061121258,-0.430657206190551,-0.192466487886626,-0.468005611975322,0.302500132374993,-0.103521046446725,-0.303661679152913,-0.576494587174037,-0.128635475236154,1.22802049167102,0.943030283404762,1.44385737090871,2.86309678113196,1.11407347058127,1.01188613374559,0.772048875494363,1.43533348893164,1.82965785583912,0.260281057243659,0.0903645837334023,2.12961389115923,-0.428553770554903,-0.886702579760935,-0.47322069284606,0.69122556834559
"8",1997,7115,9612,9148,464,0.04,0.740220557636288,-0.170601146319424,1.00271939048803,0.800364978041983,1.37108689593162,2.87795438969397,1.12422382859384,1.01457587438253,0.779441211390078,1.43294145221511,1.82959209397235,0.276640425018908,0.172550161801033,2.12589353392634,-0.39832076112574,-0.941351205374029,-0.447220020802666,-0.0331545115029429,-0.0498150990234893,-0.148058838366573,-0.195494459094771,0.677315668621739,-0.792962131612742,-0.512642763999007,-0.706955725704131,-0.98095775760123,-0.958821468421625,-0.767234983808184,-0.307123920910171,-0.863676843106308,-0.375530560404903,-1.04427492834527,-0.464376948873458,1.24503215472946
"9",1998,10502,1547,1164,383,0.13,6.78862314156432,-0.0740614892490698,-0.160477037221908,-0.226894590382471,-0.253022205794356,0.742038700000203,-0.718340006071552,-0.500697280082187,-0.689817673961454,-0.999480589402934,-0.958976517119215,-0.742935209409743,-0.226853159408569,-0.882321107774803,-0.3447208037083,-1.09318204495049,-0.438485254605708,-0.0522228772182348,-0.337630299725323,-0.504197474619185,-0.0521235643442488,0.550157718696062,1.80399435729945,3.06472567187898,1.84101588158837,1.05870514850599,-0.050483287303127,1.25538651182571,0.422578223313216,1.39468827581378,-0.508088585779902,-1.64304985296574,0.779053440179907,3.36254981790948
"10",1999,15935,8130,2674,5456,0.04,1.960024600246,-0.0933412850855468,-0.422471315464726,-0.562198842323134,-0.110984376680866,0.617781674097168,1.79082033742917,3.05495218155463,1.84136439308846,1.05379879792461,-0.0506092511024348,1.2640559345036,0.506364170128865,1.38730373663894,-0.478720697251901,-1.67013923534102,0.78962285935838,-0.0781112781132471,-0.259978301130202,-0.630930578736119,-0.0234907699251902,-0.648502263182809,-0.0405339843465899,0.138714945415709,0.215787360226292,0.968216464466793,0.126369819748884,-0.467219827381144,-0.800934716242336,0.988948312887705,-0.751995372696653,0.846593254666741,-0.609414363518615,1.26387693868791
"11",2000,9653,8183,5134,3049,0.04,1.17964071856287,-0.119516736681193,-0.351785753074583,-0.681517962312983,-0.0826178105949621,-0.553532620481428,0.00865056019888043,0.146705896394103,0.226845111807672,0.962706025110162,0.126249518768487,-0.445238500812202,-0.723042783512733,0.979540841032023,-0.725280521818891,0.72878802996699,-0.581735433564015,-0.751419054531064,-1.06568771798695,-0.720303644029884,-1.15595518846088,-1.16904667813491,-0.960110585275171,-0.801302885982036,-0.476154732510595,-0.548267798251397,-0.812127796159613,-0.277133350189758,-0.616037525785867,-0.151717630425307,2.6998157799957,-1.2018472769296,-0.420158229010448,-0.59153921403235
"12",2001,4764,8984,5471,3513,0.04,0.530276046304541,-0.800290152624098,-1.08521212050786,-0.765662634503826,-1.20455255081526,-1.0622015703205,-0.879837618063854,-0.787604884295191,-0.460537515047296,-0.563902057295286,-0.812278147740396,-0.256620968009192,-0.537254890056903,-0.166812218723798,2.76407687985396,-1.24501288452694,-0.394811423620919,1.90708533232183,-0.590108599442753,-0.690659259680537,-0.427225657384592,0.544923389422299,1.5749454791452,0.339684385850895,-0.143204407400302,-0.663965311427218,-0.963335140269793,-0.806261346545991,-0.876443078328403,-0.450281047583937,-0.0308797449967823,-0.949731519194668,-0.842889201021688,-0.411549536009123
